Age,From State,To State,Probability
40,0.00000,46.80000,0.00120
40,0.00000,49.10000,0.00180
40,0.00000,5.50000,0.00060
40,0.00000,17.00000,0.00110
40,0.00000,23.10000,0.00220
40,0.00000,22.20000,0.00230
40,0.00000,45.40000,0.00170
40,0.00000,10.90000,0.00130
40,0.00000,30.20000,0.00360
40,0.00000,41.80000,0.00260
40,0.00000,38.20000,0.00260
40,0.00000,19.70000,0.00250
40,0.00000,37.30000,0.00270
40,0.00000,25.50000,0.00350
40,0.00000,31.00000,0.00210
40,0.00000,50.20000,0.00130
40,0.00000,10.00000,0.00140
40,0.00000,16.10000,0.00280
40,0.00000,12.80000,0.00180
40,0.00000,31.70000,0.00390
40,0.00000,1.30000,0.00010
40,0.00000,27.20000,0.00310
40,0.00000,25.10000,0.00220
40,0.00000,34.50000,0.00270
40,0.00000,58.00000,0.00040
40,0.00000,51.80000,0.00080
40,0.00000,13.30000,0.00230
40,0.00000,9.20000,0.00120
40,0.00000,26.30000,0.00120
40,0.00000,37.70000,0.00240
40,0.00000,22.30000,0.00220
40,0.00000,7.80000,0.00180
40,0.00000,7.90000,0.00100
40,0.00000,15.50000,0.00200
40,0.00000,41.00000,0.00220
40,0.00000,39.20000,0.00300
40,0.00000,11.50000,0.00160
40,0.00000,23.50000,0.00270
40,0.00000,13.90000,0.00200
40,0.00000,14.70000,0.00190
40,0.00000,18.20000,0.00240
40,0.00000,46.30000,0.00240
40,0.00000,10.30000,0.00180
40,0.00000,45.20000,0.00170
40,0.00000,23.60000,0.00260
40,0.00000,38.60000,0.00260
40,0.00000,17.10000,0.00230
40,0.00000,32.20000,0.00340
40,0.00000,37.90000,0.00210
40,0.00000,16.40000,0.00190
40,0.00000,13.40000,0.00180
40,0.00000,36.30000,0.00250
40,0.00000,46.00000,0.00180
40,0.00000,35.30000,0.00230
40,0.00000,49.50000,0.00110
40,0.00000,9.90000,0.00160
40,0.00000,55.30000,0.00070
40,0.00000,35.50000,0.00220
40,0.00000,38.70000,0.00210
40,0.00000,31.60000,0.00280
40,0.00000,20.50000,0.00270
40,0.00000,28.10000,0.00260
40,0.00000,20.40000,0.00220
40,0.00000,18.00000,0.00240
40,0.00000,18.90000,0.00250
40,0.00000,41.90000,0.00240
40,0.00000,26.00000,0.00350
40,0.00000,36.70000,0.00320
40,0.00000,31.80000,0.00210
40,0.00000,1.70000,0.00020
40,0.00000,46.90000,0.00210
40,0.00000,14.50000,0.00200
40,0.00000,43.10000,0.00200
40,0.00000,26.40000,0.00260
40,0.00000,18.10000,0.00210
40,0.00000,31.50000,0.00250
40,0.00000,48.80000,0.00140
40,0.00000,26.60000,0.00260
40,0.00000,21.80000,0.00250
40,0.00000,40.30000,0.00310
40,0.00000,19.50000,0.00310
40,0.00000,47.10000,0.00110
40,0.00000,51.10000,0.00190
40,0.00000,25.70000,0.00350
40,0.00000,23.00000,0.00210
40,0.00000,26.20000,0.00290
40,0.00000,34.20000,0.00230
40,0.00000,36.00000,0.00280
40,0.00000,35.70000,0.00280
