time_stamp,state,optimal_action,value
40,0,AM,26.02572838
40,1,AM,38.168188
40,2,AM,38.168188
40,3,AM,38.168188
40,4,AM,38.168188
40,5,B,25.3738
40,6,B,25.3738
40,7,B,25.3738
40,8,B,25.3738
40,9,B,25.3738
40,10,B,25.3738
40,11,B,25.3738
40,12,B,25.3738
40,13,B,25.3738
40,14,B,25.3738
40,15,B,25.3738
40,16,B,25.3738
40,17,B,25.3738
40,18,B,25.3738
40,19,B,25.3738
40,20,B,25.3738
40,21,B,25.3738
40,22,B,25.3738
40,23,B,25.3738
40,24,B,25.3738
40,25,B,25.3738
40,26,B,25.3738
40,27,B,25.3738
40,28,B,25.3738
40,29,B,25.3738
40,30,B,25.3738
40,31,B,25.3738
40,32,B,25.3738
40,33,B,25.3738
40,34,B,25.3738
40,35,B,25.3738
40,36,B,25.3738
40,37,B,25.3738
40,38,B,25.3738
40,39,B,25.3738
40,40,B,25.3738
40,41,B,25.3738
40,42,B,25.3738
40,43,B,25.3738
40,44,B,25.3738
40,45,B,25.3738
40,46,B,25.3738
40,47,B,25.3738
40,48,B,25.3738
40,49,B,25.3738
40,50,B,25.3738
40,51,B,25.3738
40,52,B,25.3738
40,53,B,25.3738
40,54,B,25.3738
40,55,B,25.3738
40,56,B,25.3738
40,57,B,25.3738
40,58,B,25.3738
40,59,B,25.3738
40,60,B,25.3738
40,61,B,25.3738
40,62,B,25.3738
40,63,B,25.3738
40,64,B,25.3738
40,65,B,25.3738
40,66,B,25.3738
40,67,B,25.3738
40,68,B,25.3738
40,69,B,25.3738
40,70,B,25.3738
40,71,B,25.3738
40,72,B,25.3738
40,73,B,25.3738
40,74,B,25.3738
40,75,B,25.3738
40,76,B,25.3738
40,77,B,25.3738
40,78,B,25.3738
40,79,B,25.3738
40,80,B,25.3738
40,81,B,25.3738
40,82,B,25.3738
40,83,B,25.3738
40,84,B,25.3738
40,85,B,25.3738
40,86,B,25.3738
40,87,B,25.3738
40,88,B,25.3738
40,89,B,25.3738
40,90,B,25.3738
40,91,B,25.3738
40,92,B,25.3738
40,93,B,25.3738
40,94,B,25.3738
40,95,B,25.3738
40,96,B,25.3738
40,97,B,25.3738
40,98,B,25.3738
40,99,B,25.3738
40,100,None,-100.0
41,0,AM,0.99978
41,1,B,37.1702
41,2,B,37.1702
41,3,B,37.1702
41,4,B,37.1702
41,5,B,24.8722
41,6,B,24.8722
41,7,B,24.8722
41,8,B,24.8722
41,9,B,24.8722
41,10,B,24.8722
41,11,B,24.8722
41,12,B,24.8722
41,13,B,24.8722
41,14,B,24.8722
41,15,B,24.8722
41,16,B,24.8722
41,17,B,24.8722
41,18,B,24.8722
41,19,B,24.8722
41,20,B,24.8722
