time_stamp,state,action
40,0.0,AM
40,0.1,AM
40,0.2,AM
40,0.3,AM
40,0.4,AM
40,0.5,AM
40,0.6,AM
40,0.7,AM
40,0.8,AM
40,0.9,AM
40,1.0,B
40,1.1,B
40,1.2,B
40,1.3,B
40,1.4,B
40,1.5,B
40,1.6,B
40,1.7,B
40,1.8,B
40,1.9,B
40,2.0,B
40,2.1,B
40,2.2,B
40,2.3,B
40,2.4,B
40,2.5,B
40,2.6,B
40,2.7,B
40,2.8,B
40,2.9,B
40,3.0,B
40,3.1,B
40,3.2,B
40,3.3,B
40,3.4,B
40,3.5,B
40,3.6,B
40,3.7,B
40,3.8,B
40,3.9,B
40,4.0,B
40,4.1,B
40,4.2,B
40,4.3,B
40,4.4,B
40,4.5,B
40,4.6,B
40,4.7,B
40,4.8,B
40,4.9,B
40,5.0,B
40,5.1,B
40,5.2,B
40,5.3,B
40,5.4,B
40,5.5,B
40,5.6,B
40,5.7,B
40,5.8,B
40,5.9,B
40,6.0,B
40,6.1,B
40,6.2,B
40,6.3,B
40,6.4,B
40,6.5,B
40,6.6,B
40,6.7,B
40,6.8,B
40,6.9,B
40,7.0,B
40,7.1,B
40,7.2,B
40,7.3,B
40,7.4,B
40,7.5,B
40,7.6,B
40,7.7,B
40,7.8,B
40,7.9,B
40,8.0,B
40,8.1,B
40,8.2,B
40,8.3,B
40,8.4,B
40,8.5,B
40,8.6,B
40,8.7,B
40,8.8,B
40,8.9,B
40,9.0,B
40,9.1,B
40,9.2,B
40,9.3,B
40,9.4,B
40,9.5,B
40,9.6,B
40,9.7,B
40,9.8,B
40,9.9,B
40,10.0,B
40,10.1,B
40,10.2,B
40,10.3,B
40,10.4,B
40,10.5,B
40,10.6,B
40,10.7,B
40,10.8,B
40,10.9,B
40,11.0,B
40,11.1,B
40,11.2,B
40,11.3,B
40,11.4,B
40,11.5,B
40,11.6,B
40,11.7,B
40,11.8,B
40,11.9,B
40,12.0,B
40,12.1,B
40,12.2,B
40,12.3,B
40,12.4,B
40,12.5,B
40,12.6,B
40,12.7,B
40,12.8,B
40,12.9,B
40,13.0,B
40,13.1,B
40,13.2,B
40,13.3,B
40,13.4,B
40,13.5,B
40,13.6,B
40,13.7,B
40,13.8,B
40,13.9,B
40,14.0,B
40,14.1,B
40,14.2,B
40,14.3,B
40,14.4,B
40,14.5,B
40,14.6,B
40,14.7,B
40,14.8,B
40,14.9,B
40,15.0,B
40,15.1,B
40,15.2,B
40,15.3,B
40,15.4,B
40,15.5,B
40,15.6,B
40,15.7,B
40,15.8,B
40,15.9,B
40,16.0,B
40,16.1,B
40,16.2,B
40,16.3,B
40,16.4,B
40,16.5,B
40,16.6,B
40,16.7,B
40,16.8,B
40,16.9,B
40,17.0,B
40,17.1,B
40,17.2,B
40,17.3,B
40,17.4,B
40,17.5,B
40,17.6,B
40,17.7,B
40,17.8,B
40,17.9,B
40,18.0,B
40,18.1,B
40,18.2,B
40,18.3,B
40,18.4,B
40,18.5,B
40,18.6,B
40,18.7,B
40,18.8,B
40,18.9,B
40,19.0,B
40,19.1,B
40,19.2,B
40,19.3,B
40,19.4,B
40,19.5,B
40,19.6,B
40,19.7,B
40,19.8,B
40,19.9,B
40,20.0,B
40,20.1,B
40,20.2,B
40,20.3,B
40,20.4,B
40,20.5,B
40,20.6,B
40,20.7,B
40,20.8,B
40,20.9,B
40,21.0,B
40,21.1,B
40,21.2,B
40,21.3,B
40,21.4,B
40,21.5,B
40,21.6,B
40,21.7,B
40,21.8,B
40,21.9,B
40,22.0,B
40,22.1,B
40,22.2,B
40,22.3,B
40,22.4,B
40,22.5,B
40,22.6,B
40,22.7,B
40,22.8,B
40,22.9,B
40,23.0,B
40,23.1,B
40,23.2,B
40,23.3,B
40,23.4,B
40,23.5,B
40,23.6,B
40,23.7,B
40,23.8,B
40,23.9,B
40,24.0,B
40,24.1,B
40,24.2,B
40,24.3,B
40,24.4,B
40,24.5,B
40,24.6,B
40,24.7,B
40,24.8,B
40,24.9,B
40,25.0,B
40,25.1,B
40,25.2,B
40,25.3,B
40,25.4,B
40,25.5,B
40,25.6,B
40,25.7,B
40,25.8,B
40,25.9,B
40,26.0,B
40,26.1,B
40,26.2,B
40,26.3,B
40,26.4,B
40,26.5,B
40,26.6,B
40,26.7,B
40,26.8,B
40,26.9,B
40,27.0,B
40,27.1,B
40,27.2,B
40,27.3,B
40,27.4,B
40,27.5,B
40,27.6,B
40,27.7,B
40,27.8,B
40,27.9,B
40,28.0,B
40,28.1,B
40,28.2,B
40,28.3,B
40,28.4,B
40,28.5,B
40,28.6,B
40,28.7,B
40,28.8,B
40,28.9,B
40,29.0,B
40,29.1,B
40,29.2,B
40,29.3,B
40,29.4,B
40,29.5,B
40,29.6,B
40,29.7,B
40,29.8,B
40,29.9,B
40,30.0,B
40,30.1,B
40,30.2,B
40,30.3,B
40,30.4,B
40,30.5,B
40,30.6,B
40,30.7,B
40,30.8,B
40,30.9,B
40,31.0,B
40,31.1,B
40,31.2,B
40,31.3,B
40,31.4,B
40,31.5,B
40,31.6,B
40,31.7,B
40,31.8,B
40,31.9,B
40,32.0,B
40,32.1,B
40,32.2,B
40,32.3,B
40,32.4,B
40,32.5,B
40,32.6,B
40,32.7,B
40,32.8,B
40,32.9,B
40,33.0,B
40,33.1,B
40,33.2,B
40,33.3,B
40,33.4,B
40,33.5,B
40,33.6,B
40,33.7,B
40,33.8,B
40,33.9,B
40,34.0,B
40,34.1,B
40,34.2,B
40,34.3,B
40,34.4,B
40,34.5,B
40,34.6,B
40,34.7,B
40,34.8,B
40,34.9,B
40,35.0,B
40,35.1,B
40,35.2,B
40,35.3,B
40,35.4,B
40,35.5,B
40,35.6,B
40,35.7,B
40,35.8,B
40,35.9,B
40,36.0,B
40,36.1,B
40,36.2,B
40,36.3,B
40,36.4,B
40,36.5,B
40,36.6,B
40,36.7,B
40,36.8,B
40,36.9,B
40,37.0,B
40,37.1,B
40,37.2,B
40,37.3,B
40,37.4,B
40,37.5,B
40,37.6,B
40,37.7,B
40,37.8,B
40,37.9,B
40,38.0,B
40,38.1,B
40,38.2,B
40,38.3,B
40,38.4,B
40,38.5,B
40,38.6,B
40,38.7,B
40,38.8,B
40,38.9,B
40,39.0,B
40,39.1,B
40,39.2,B
40,39.3,B
40,39.4,B
40,39.5,B
40,39.6,B
40,39.7,B
40,39.8,B
40,39.9,B
40,40.0,B
40,40.1,B
40,40.2,B
40,40.3,B
40,40.4,B
40,40.5,B
40,40.6,B
40,40.7,B
40,40.8,B
40,40.9,B
40,41.0,B
40,41.1,B
40,41.2,B
40,41.3,B
40,41.4,B
40,41.5,B
40,41.6,B
40,41.7,B
40,41.8,B
40,41.9,B
40,42.0,B
40,42.1,B
40,42.2,B
40,42.3,B
40,42.4,B
40,42.5,B
40,42.6,B
