time_stamp,state,action
40,0,AM
40,1,B
40,2,B
40,3,B
40,4,B
40,5,B
40,6,B
40,7,B
40,8,B
40,9,B
40,10,B
40,11,B
40,12,B
40,13,B
40,14,B
40,15,B
40,16,B
40,17,B
40,18,B
40,19,B
40,20,B
40,21,B
40,22,B
40,23,B
40,24,B
40,25,B
40,26,B
40,27,B
40,28,B
40,29,B
40,30,B
40,31,B
40,32,B
40,33,B
40,34,B
40,35,B
40,36,B
40,37,B
40,38,B
40,39,B
40,40,B
40,41,B
40,42,B
40,43,B
40,44,B
40,45,B
40,46,B
40,47,B
40,48,B
40,49,B
40,50,B
40,51,B
40,52,B
40,53,B
40,54,B
40,55,B
40,56,B
40,57,B
40,58,B
40,59,B
40,60,B
40,61,B
40,62,B
40,63,B
40,64,B
40,65,B
40,66,B
40,67,B
40,68,B
40,69,B
40,70,B
40,71,B
40,72,B
40,73,B
40,74,B
40,75,B
40,76,B
40,77,B
40,78,B
40,79,B
40,80,B
40,81,B
40,82,B
40,83,B
40,84,B
40,85,B
40,86,B
40,87,B
40,88,B
40,89,B
40,90,B
40,91,B
40,92,B
40,93,B
40,94,B
40,95,B
40,96,B
40,97,B
40,98,B
40,99,B
40,100,B
41,0,AM
41,1,B
41,2,B
41,3,B
41,4,B
41,5,B
41,6,B
41,7,B
41,8,B
41,9,B
41,10,B
41,11,B
41,12,B
41,13,B
41,14,B
41,15,B
41,16,B
41,17,B
41,18,B
41,19,B
41,20,B
41,21,B
41,22,B
41,23,B
41,24,B
41,25,B
41,26,B
41,27,B
41,28,B
41,29,B
41,30,B
41,31,B
41,32,B
41,33,B
41,34,B
41,35,B
41,36,B
41,37,B
41,38,B
41,39,B
41,40,B
41,41,B
41,42,B
41,43,B
41,44,B
41,45,B
41,46,B
41,47,B
41,48,B
41,49,B
41,50,B
41,51,B
41,52,B
41,53,B
41,54,B
41,55,B
41,56,B
41,57,B
41,58,B
41,59,B
41,60,B
41,61,B
41,62,B
41,63,B
41,64,B
41,65,B
41,66,B
41,67,B
41,68,B
41,69,B
41,70,B
41,71,B
41,72,B
41,73,B
41,74,B
41,75,B
41,76,B
41,77,B
41,78,B
41,79,B
41,80,B
41,81,B
41,82,B
41,83,B
41,84,B
41,85,B
41,86,B
41,87,B
41,88,B
41,89,B
41,90,B
41,91,B
41,92,B
41,93,B
41,94,B
41,95,B
41,96,B
41,97,B
41,98,B
41,99,B
41,100,B
42,0,AM
42,1,B
42,2,B
42,3,B
42,4,B
42,5,B
42,6,B
42,7,B
42,8,B
42,9,B
42,10,B
42,11,B
42,12,B
42,13,B
42,14,B
42,15,B
42,16,B
42,17,B
42,18,B
42,19,B
42,20,B
42,21,B
42,22,B
42,23,B
42,24,B
42,25,B
42,26,B
42,27,B
42,28,B
42,29,B
42,30,B
42,31,B
42,32,B
42,33,B
42,34,B
42,35,B
42,36,B
42,37,B
42,38,B
42,39,B
42,40,B
42,41,B
42,42,B
42,43,B
42,44,B
42,45,B
42,46,B
42,47,B
42,48,B
42,49,B
42,50,B
42,51,B
42,52,B
42,53,B
42,54,B
42,55,B
42,56,B
42,57,B
42,58,B
42,59,B
42,60,B
42,61,B
42,62,B
42,63,B
42,64,B
42,65,B
42,66,B
42,67,B
42,68,B
42,69,B
42,70,B
42,71,B
42,72,B
42,73,B
42,74,B
42,75,B
42,76,B
42,77,B
42,78,B
42,79,B
42,80,B
42,81,B
42,82,B
42,83,B
42,84,B
42,85,B
42,86,B
42,87,B
42,88,B
42,89,B
42,90,B
42,91,B
42,92,B
42,93,B
42,94,B
42,95,B
42,96,B
42,97,B
42,98,B
42,99,B
42,100,B
43,0,AM
43,1,B
43,2,B
43,3,B
43,4,B
43,5,B
43,6,B
43,7,B
43,8,B
43,9,B
43,10,B
43,11,B
43,12,B
43,13,B
43,14,B
43,15,B
43,16,B
43,17,B
43,18,B
43,19,B
43,20,B
43,21,B
43,22,B
43,23,B
43,24,B
43,25,B
43,26,B
43,27,B
43,28,B
43,29,B
43,30,B
43,31,B
43,32,B
43,33,B
43,34,B
43,35,B
43,36,B
43,37,B
43,38,B
43,39,B
43,40,B
43,41,B
43,42,B
43,43,B
43,44,B
43,45,B
43,46,B
43,47,B
43,48,B
43,49,B
43,50,B
43,51,B
43,52,B
43,53,B
43,54,B
43,55,B
43,56,B
43,57,B
43,58,B
43,59,B
43,60,B
43,61,B
43,62,B
43,63,B
43,64,B
43,65,B
43,66,B
43,67,B
43,68,B
43,69,B
43,70,B
43,71,B
43,72,B
43,73,B
43,74,B
43,75,B
43,76,B
43,77,B
43,78,B
43,79,B
43,80,B
43,81,B
43,82,B
43,83,B
43,84,B
43,85,B
43,86,B
43,87,B
43,88,B
43,89,B
43,90,B
43,91,B
43,92,B
43,93,B
43,94,B
43,95,B
43,96,B
43,97,B
43,98,B
43,99,B
43,100,B
44,0,AM
44,1,AM
44,2,AM
44,3,B
44,4,B
44,5,B
44,6,B
44,7,B
44,8,B
44,9,B
44,10,B
44,11,B
44,12,B
44,13,B
44,14,B
44,15,B
44,16,B
44,17,B
44,18,B
44,19,B
44,20,B
44,21,B
44,22,B
44,23,B
44,24,B
44,25,B
44,26,B
44,27,B
44,28,B
44,29,B
44,30,B
44,31,B
44,32,B
44,33,B
44,34,B
44,35,B
44,36,B
44,37,B
44,38,B
44,39,B
44,40,B
44,41,B
44,42,B
44,43,B
44,44,B
44,45,B
44,46,B
44,47,B
44,48,B
44,49,B
44,50,B
44,51,B
44,52,B
44,53,B
44,54,B
44,55,B
44,56,B
44,57,B
44,58,B
44,59,B
44,60,B
44,61,B
44,62,B
44,63,B
44,64,B
44,65,B
44,66,B
44,67,B
44,68,B
44,69,B
44,70,B
44,71,B
44,72,B
44,73,B
44,74,B
44,75,B
44,76,B
44,77,B
44,78,B
44,79,B
44,80,B
44,81,B
44,82,B
44,83,B
44,84,B
44,85,B
44,86,B
44,87,B
44,88,B
44,89,B
44,90,B
44,91,B
44,92,B
44,93,B
44,94,B
44,95,B
44,96,B
44,97,B
44,98,B
44,99,B
44,100,B
45,0,AM
45,1,AM
45,2,AM
45,3,B
45,4,AM
45,5,B
