Time Step,State,Action,Q-Value
40,0,AM,11.245217469030777
40,0,B,0.0
40,1,AM,33.82044971509245
40,1,B,37.37279999999997
40,2,AM,33.82061154725497
40,2,B,37.37279999999997
40,3,AM,33.820667999999614
40,3,B,37.37279999999997
40,4,AM,33.82066799999993
40,4,B,37.37279999999997
40,5,AM,22.69859199999997
40,5,B,24.673799999999986
40,6,AM,22.69859199999997
40,6,B,24.673799999999986
40,7,AM,22.69859199999997
40,7,B,24.673799999999986
40,8,AM,22.69859199999997
40,8,B,24.673799999999986
40,9,AM,22.69859199999997
40,9,B,24.673799999999986
40,10,AM,22.69859199999997
40,10,B,24.673799999999986
40,11,AM,22.69859199999997
40,11,B,24.673799999999986
40,12,AM,22.69859199999997
40,12,B,24.673799999999986
40,13,AM,22.69859199999997
40,13,B,24.673799999999986
40,14,AM,22.69859199999997
40,14,B,24.673799999999986
40,15,AM,22.69859199999997
40,15,B,24.673799999999986
40,16,AM,22.69859199999997
40,16,B,24.673799999999986
40,17,AM,22.69859199999997
40,17,B,24.673799999999986
40,18,AM,22.69859199999997
40,18,B,24.673799999999986
40,19,AM,22.69859199999997
40,19,B,24.673799999999986
40,20,AM,22.69859199999997
40,20,B,24.673799999999986
40,21,AM,22.69859199999997
40,21,B,24.673799999999986
40,22,AM,22.69859199999997
40,22,B,24.673799999999986
40,23,AM,22.69859199999997
40,23,B,24.673799999999986
40,24,AM,22.69859199999997
40,24,B,24.673799999999986
40,25,AM,22.69859199999997
40,25,B,24.673799999999986
40,26,AM,22.69859199999997
40,26,B,24.673799999999986
40,27,AM,22.698591997961948
40,27,B,24.673799999999986
40,28,AM,22.698556384935213
40,28,B,24.673799999999986
40,29,AM,22.345164919012788
40,29,B,24.673799956889077
40,30,AM,0.0
40,30,B,1.0
40,31,AM,0.0
40,31,B,1.0
40,32,AM,0.0
40,32,B,1.0
40,33,AM,0.0
40,33,B,1.0
40,34,AM,0.0
40,34,B,1.0
40,35,AM,0.0
40,35,B,1.0
40,36,AM,0.0
40,36,B,1.0
40,37,AM,0.0
40,37,B,1.0
40,38,AM,0.0
40,38,B,1.0
